iter	Passed	Remaining
337	1821	3566
338	1824	3558
339	1828	3550
340	1833	3543
341	1838	3536
342	1842	3529
343	1847	3522
344	1851	3514
345	1855	3507
346	1860	3500
347	1864	3494
348	1869	3487
349	1873	3480
350	1878	3473
351	1885	3471
352	1894	3472
353	1902	3472
354	1911	3473
355	1918	3470
356	1926	3469
357	1934	3469
358	1939	3463
359	1944	3456
360	1948	3448
361	1952	3441
362	1957	3434
363	1961	3426
364	1965	3419
365	1969	3411
366	1973	3404
367	1978	3398
368	1986	3396
369	1993	3394
370	1998	3388
371	2002	3380
372	2006	3373
373	2010	3365
374	2014	3357
375	2019	3351
376	2025	3347
377	2030	3340
378	2035	3334
379	2045	3338
380	2058	3343
381	2066	3342
382	2073	3339
383	2077	3333
384	2081	3325
385	2085	3317
386	2090	3311
387	2094	3304
388	2099	3297
389	2104	3291
390	2109	3284
391	2113	3277
392	2117	3271
393	2123	3265
394	2127	3258
395	2132	3252
396	2137	3246
397	2141	3239
398	2146	3232
399	2150	3226
400	2155	3219
401	2160	3213
402	2164	3205
403	2168	3199
404	2174	3195
405	2182	3193
406	2188	3188
407	2192	3181
408	2197	3175
409	2201	3168
410	2206	3161
411	2210	3155
412	2214	3147
413	2219	3141
414	2224	3135
415	2228	3128
416	2233	3121
417	2237	3114
418	2240	3107
419	2245	3100
420	2250	3094
421	2254	3088
422	2259	3081
423	2263	3075
424	2268	3068
425	2272	3062
426	2277	3056
427	2281	3049
428	2286	3043
429	2290	3036
430	2295	3030
431	2300	3024
432	2303	3016
433	2309	3011
434	2318	3011
435	2326	3009
436	2334	3007
437	2344	3008
438	2352	3005
439	2356	2999
440	2361	2993
441	2366	2986
442	2372	2983
443	2381	2981
444	2385	2974
445	2390	2969
446	2394	2962
447	2398	2955
448	2403	2949
449	2408	2943
450	2412	2937
451	2417	2930
452	2422	2924
453	2426	2918
454	2430	2911
455	2435	2904
456	2439	2898
457	2444	2892
458	2449	2886
459	2453	2880
460	2457	2873
461	2462	2867
462	2466	2860
463	2470	2853
464	2475	2847
465	2479	2841
466	2484	2835
467	2488	2829
468	2492	2822
469	2497	2816
470	2501	2809
471	2506	2803
472	2511	2797
473	2515	2791
474	2519	2784
475	2523	2778
476	2528	2771
477	2532	2765
478	2536	2758
479	2540	2752
480	2545	2746
481	2549	2739
482	2555	2735
483	2559	2728
484	2564	2722
485	2571	2719
486	2579	2717
487	2583	2710
488	2587	2703
489	2592	2698
490	2598	2693
491	2603	2687
492	2607	2681
493	2612	2675
494	2617	2669
495	2621	2663
496	2626	2657
497	2630	2651
498	2634	2645
499	2639	2639
500	2643	2633
501	2648	2627
502	2652	2620
503	2656	2614
504	2661	2608
505	2665	2602
506	2670	2596
507	2675	2590
508	2679	2584
509	2684	2579
510	2688	2573
511	2693	2567
512	2698	2561
513	2702	2555
514	2707	2549
515	2711	2543
516	2716	2537
517	2720	2531
518	2724	2524
519	2727	2518
520	2732	2512
521	2737	2506
522	2741	2500
523	2746	2494
524	2750	2488
525	2754	2482
526	2759	2476
527	2764	2471
528	2772	2468
529	2779	2465
530	2783	2458
531	2787	2451
532	2792	2446
533	2795	2439
534	2800	2434
535	2804	2427
536	2809	2422
537	2812	2415
538	2817	2409
539	2822	2404
540	2826	2398
541	2831	2392
542	2835	2386
543	2839	2380
544	2843	2373
545	2848	2368
546	2852	2362
547	2856	2355
548	2860	2350
549	2865	2344
550	2869	2338
551	2873	2332
552	2877	2326
553	2882	2320
554	2886	2314
555	2890	2308
556	2895	2302
557	2899	2296
558	2902	2290
559	2906	2283
560	2911	2278
561	2915	2272
562	2920	2266
563	2924	2261
564	2929	2255
565	2933	2249
566	2938	2243
567	2942	2237
568	2945	2231
569	2949	2225
570	2954	2219
571	2961	2216
572	2969	2213
573	2973	2206
574	2978	2201
575	2983	2196
576	2987	2190
577	2994	2186
578	2998	2180
579	3003	2174
580	3008	2169
581	3012	2163
582	3016	2157
583	3021	2152
584	3025	2146
585	3030	2140
586	3034	2134
587	3039	2129
588	3043	2123
589	3047	2117
590	3051	2111
591	3056	2106
592	3060	2100
593	3064	2094
594	3069	2089
595	3074	2083
596	3078	2078
597	3082	2072
598	3087	2066
599	3091	2061
600	3096	2055
601	3101	2050
602	3105	2044
603	3110	2039
604	3114	2033
605	3119	2028
606	3123	2022
607	3128	2017
608	3132	2011
609	3137	2006
610	3142	2000
611	3148	1995
612	3152	1990
613	3159	1986
614	3167	1982
615	3171	1977
616	3176	1971
617	3181	1966
618	3185	1960
619	3190	1955
620	3195	1950
621	3199	1944
622	3204	1938
623	3208	1933
624	3212	1927
625	3217	1922
626	3222	1917
627	3226	1911
628	3230	1905
629	3235	1900
630	3240	1894
631	3244	1889
632	3248	1883
633	3253	1878
634	3259	1873
635	3266	1869
636	3270	1863
637	3275	1858
638	3279	1852
639	3283	1847
640	3288	1841
641	3292	1836
642	3297	1830
643	3302	1825
644	3306	1820
645	3313	1815
646	3317	1810
647	3321	1804
648	3326	1798
649	3330	1793
650	3334	1787
651	3338	1781
652	3343	1776
653	3347	1770
654	3352	1765
655	3360	1762
656	3367	1758
657	3372	1752
658	3379	1748
659	3383	1743
660	3388	1737
661	3392	1732
662	3396	1726
663	3401	1721
664	3406	1715
665	3410	1710
666	3414	1704
667	3418	1699
668	3423	1693
669	3429	1688
670	3433	1683
671	3439	1678
672	3445	1674
673	3454	1670
674	3459	1665
675	3463	1660
676	3469	1655
677	3473	1649
678	3477	1644
679	3482	1638
680	3486	1633
681	3491	1627
682	3495	1622
683	3499	1616
684	3503	1611
685	3508	1605
686	3512	1600
687	3517	1595
688	3521	1589
689	3525	1584
690	3529	1578
691	3534	1573
692	3538	1567
693	3541	1561
694	3545	1555
695	3553	1552
696	3560	1547
697	3565	1542
698	3570	1537
699	3574	1531
700	3578	1526
701	3582	1520
702	3586	1515
703	3591	1509
704	3594	1504
705	3599	1498
706	3604	1493
707	3608	1488
708	3613	1483
709	3618	1477
710	3622	1472
711	3627	1467
712	3632	1461
713	3636	1456
714	3641	1451
715	3645	1445
716	3649	1440
717	3654	1435
718	3659	1430
719	3667	1426
720	3676	1422
721	3685	1418
722	3692	1414
723	3701	1411
724	3707	1406
725	3711	1400
726	3715	1395
727	3721	1390
728	3726	1385
729	3730	1379
730	3735	1374
731	3747	1371
732	3753	1367
733	3757	1361
734	3762	1356
735	3767	1351
736	3772	1346
737	3775	1340
738	3780	1335
739	3785	1330
740	3789	1324
741	3793	1319
742	3797	1313
743	3801	1308
744	3806	1302
745	3811	1297
746	3816	1292
747	3820	1287
748	3825	1281
749	3829	1276
750	3833	1271
751	3838	1265
752	3842	1260
753	3846	1255
754	3851	1249
755	3855	1244
756	3859	1238
757	3863	1233
758	3867	1228
759	3871	1222
760	3875	1217
761	3880	1212
762	3885	1206
763	3889	1201
764	3893	1196
765	3898	1190
766	3902	1185
767	3906	1180
768	3911	1174
769	3915	1169
770	3920	1164
771	3924	1159
772	3929	1153
773	3935	1149
774	3942	1144
775	3951	1140
776	3956	1135
777	3960	1130
778	3964	1124
779	3969	1119
780	3974	1114
781	3978	1109
782	3983	1103
783	3987	1098
784	3992	1093
785	3996	1088
786	4001	1082
787	4005	1077
788	4010	1072
789	4015	1067
790	4019	1062
791	4023	1056
792	4027	1051
793	4031	1045
794	4036	1040
795	4040	1035
796	4044	1030
797	4049	1025
798	4053	1019
799	4058	1014
800	4062	1009
801	4066	1004
802	4071	998
803	4075	993
804	4080	988
805	4085	983
806	4089	978
807	4094	972
808	4098	967
809	4103	962
810	4107	957
811	4111	951
812	4115	946
813	4119	941
814	4123	935
815	4127	930
816	4132	925
817	4139	921
818	4147	916
819	4153	911
820	4160	907
821	4164	901
822	4168	896
823	4172	891
824	4177	886
825	4181	880
826	4185	875
827	4191	870
828	4199	866
829	4203	860
830	4208	855
831	4216	851
832	4223	846
833	4228	841
834	4233	836
835	4238	831
836	4243	826
837	4247	821
838	4252	815
839	4256	810
840	4260	805
841	4265	800
842	4269	795
843	4274	789
844	4278	784
845	4282	779
846	4286	774
847	4290	769
848	4294	763
849	4299	758
850	4304	753
851	4308	748
852	4312	743
853	4317	738
854	4321	732
855	4325	727
856	4330	722
857	4338	717
858	4346	713
859	4351	708
860	4356	703
861	4359	697
862	4364	692
863	4368	687
864	4373	682
865	4377	677
866	4382	672
867	4386	667
868	4390	661
869	4394	656
870	4399	651
871	4404	646
872	4408	641
873	4412	636
874	4417	631
875	4421	625
876	4428	621
877	4433	615
878	4437	610
879	4442	605
880	4446	600
881	4450	595
882	4455	590
883	4460	585
884	4464	580
885	4469	575
886	4473	569
887	4477	564
888	4482	559
889	4486	554
890	4491	549
891	4495	544
892	4500	539
893	4504	534
894	4508	528
895	4513	523
896	4517	518
897	4521	513
898	4526	508
899	4531	503
900	4538	498
901	4545	493
902	4549	488
903	4554	483
904	4559	478
905	4564	473
906	4569	468
907	4572	463
908	4577	458
909	4581	453
910	4586	448
911	4590	442
912	4595	437
913	4599	432
914	4604	427
915	4608	422
916	4613	417
917	4618	412
918	4622	407
919	4627	402
920	4632	397
921	4636	392
922	4641	387
923	4646	382
924	4650	377
925	4654	371
926	4659	366
927	4663	361
928	4668	356
929	4672	351
930	4677	346
931	4681	341
932	4685	336
933	4690	331
934	4694	326
935	4699	321
936	4703	316
937	4707	311
938	4712	306
939	4716	301
940	4720	295
941	4727	291
942	4734	286
943	4739	281
944	4744	276
945	4748	271
946	4753	266
947	4757	260
948	4761	255
949	4765	250
950	4770	245
951	4773	240
952	4777	235
953	4781	230
954	4785	225
955	4790	220
956	4794	215
957	4797	210
958	4801	205
959	4806	200
960	4810	195
961	4815	190
962	4820	185
963	4824	180
964	4828	175
965	4833	170
966	4837	165
967	4841	160
968	4845	155
969	4850	150
970	4854	144
971	4858	139
972	4862	134
973	4867	129
974	4871	124
975	4874	119
976	4879	114
977	4884	109
978	4888	104
979	4893	99
980	4897	94
981	4902	89
982	4906	84
983	4910	79
984	4914	74
985	4919	69
986	4928	64
987	4935	59
988	4940	54
989	4945	49
990	4949	44
991	4953	39
992	4959	34
993	4964	29
994	4969	24
995	4973	19
996	4977	14
997	4981	9
998	4985	4
999	4989	0
